decision_date,execution_date,eligible_tickers,selected_ticker,selected_score
2019-06-28,2019-07-01,ABEV3;B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;BRAP4;CMIG4;CPFE3;CPLE3;CSMG3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;ITSA4;ITUB4;LREN3;MGLU3;MULT3;PETR4;RADL3;RAIL3;RENT3;SANB11;SBSP3;SMTO3;TOTS3;VALE3;WEGE3,CYRE3,0.8804616033689953
2019-07-31,2019-08-01,ABEV3;B3SA3;BBSE3;BPAC11;CPFE3;CPLE3;CSMG3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;HYPE3;LREN3;MGLU3;MULT3;RADL3;RAIL3;RENT3;SBSP3;SMTO3;TOTS3;WEGE3,MGLU3,0.7036828381893325
2019-08-30,2019-09-02,B3SA3;BBSE3;CMIG4;CPFE3;CPLE3;CSMG3;CYRE3;ENEV3;EQTL3;HYPE3;LREN3;MGLU3;PSSA3;RADL3;RAIL3;RENT3;TOTS3,CPLE3,0.45941583504062117
2019-09-30,2019-10-01,ABEV3;BBSE3;BPAC11;CPFE3;EGIE3;ENEV3;ENGI11;EQTL3;HYPE3;ITSA4;LREN3;MULT3;PETR4;PSSA3;RADL3;RAIL3;SANB11;TOTS3;WEGE3,ENEV3,0.7417212245377972
2019-10-31,2019-11-01,B3SA3;BPAC11;BRAP4;CPFE3;CPLE3;CYRE3;EGIE3;ENEV3;EQTL3;HYPE3;ITSA4;ITUB4;LREN3;MGLU3;MULT3;PETR4;RADL3;SANB11;SBSP3;TOTS3;WEGE3,RADL3,0.6337552207258188
2019-11-29,2019-12-02,BPAC11;BRAP4;CPLE3;CSMG3;CYRE3;EGIE3;ENEV3;EQTL3;GGBR4;GOAU4;KLBN11;LREN3;MGLU3;MULT3;PSSA3;RADL3;RAIL3;RENT3;SBSP3;SMTO3;SUZB3;TOTS3;UGPA3;VALE3;WEGE3,CPLE3,0.8730253441033772
2019-12-30,2020-01-02,ABEV3;BBAS3;BBDC4;BBSE3;BPAC11;BRAP4;CPFE3;CPLE3;CSMG3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;KLBN11;LREN3;MGLU3;MULT3;PETR4;PSSA3;RAIL3;RENT3;SANB11;SBSP3;SMTO3;SUZB3;UGPA3;USIM5;VALE3;WEGE3,MULT3,0.9263500993479932
2020-01-31,2020-02-03,B3SA3;CMIG4;CPFE3;CPLE3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;GGBR4;GOAU4;KLBN11;LREN3;MGLU3;MULT3;PSSA3;RADL3;RENT3;SBSP3;SMTO3;TOTS3;USIM5;WEGE3,CPLE3,0.5936463372795014
2020-02-28,2020-03-02,B3SA3;CPLE3;EQTL3;HYPE3;SMTO3;WEGE3,WEGE3,0.08443065967060986
2020-03-31,2020-04-01,,,
2020-04-30,2020-05-04,ENEV3;KLBN11;MGLU3;WEGE3,KLBN11,0.527586582950311
2020-05-29,2020-06-01,B3SA3;BRAP4;CMIG4;ENEV3;GOAU4;KLBN11;MGLU3;SBSP3;VALE3;WEGE3,MGLU3,0.42606433994981247
2020-06-30,2020-07-01,B3SA3;BPAC11;BRAP4;CMIG4;ENEV3;ENGI11;EQTL3;GGBR4;GOAU4;KLBN11;MGLU3;RADL3;SBSP3;SMTO3;TOTS3;VALE3;WEGE3,BPAC11,0.8695555080551002
2020-07-31,2020-08-03,B3SA3;BPAC11;BRAP4;CMIG4;CPLE3;CSNA3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;GGBR4;GOAU4;HYPE3;MGLU3;RADL3;RENT3;SBSP3;SUZB3;TOTS3;USIM5;VALE3;WEGE3,BRAP4,0.551279485188537
2020-08-31,2020-09-01,BRAP4;CSNA3;GGBR4;GOAU4;KLBN11;MGLU3;SMTO3;SUZB3;TOTS3;USIM5,KLBN11,0.859967513704123
2020-09-30,2020-10-01,BRAP4;CSNA3;GGBR4;GOAU4;RADL3;RENT3,RADL3,0.2503618421782511
2020-10-30,2020-11-03,BPAC11;BRAP4;CSNA3;ENEV3;GGBR4;GOAU4;MGLU3;RADL3;RENT3;SUZB3;USIM5;VALE3;WEGE3,CSNA3,0.9063984889256524
2020-11-30,2020-12-01,B3SA3;BBDC4;BBSE3;BPAC11;BRAP4;CMIG4;CPFE3;CPLE3;CSNA3;CYRE3;ENEV3;ENGI11;EQTL3;ITSA4;ITUB4;KLBN11;LREN3;PETR4;RENT3;SANB11;SMTO3;SUZB3;UGPA3;USIM5;VALE3,VALE3,0.7576372454670584
2020-12-30,2021-01-04,ABEV3;B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;BRAP4;CMIG4;CPFE3;CPLE3;CSNA3;CYRE3;ENEV3;ENGI11;EQTL3;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;KLBN11;MGLU3;MULT3;PETR4;RENT3;SANB11;SMTO3;SUZB3;TOTS3;UGPA3;USIM5;VALE3,VALE3,0.6573411004756592
2021-01-29,2021-02-01,BPAC11;ENEV3;ENGI11;KLBN11;MGLU3;SMTO3;SUZB3;TOTS3;VALE3;WEGE3,SMTO3,0.3617836928382874
2021-02-26,2021-03-01,BPAC11;ENEV3;GGBR4;KLBN11;SMTO3;SUZB3;TOTS3;USIM5;VALE3,SUZB3,0.46983549423398163
2021-03-31,2021-04-01,ABEV3;BBDC4;BRAP4;CMIG4;CPLE3;CSNA3;EQTL3;GGBR4;GOAU4;ITSA4;ITUB4;LREN3;MULT3;PETR4;RADL3;RENT3;SANB11;UGPA3;USIM5,CPLE3,0.7024399982649583
2021-04-30,2021-05-03,BPAC11;BRAP4;CMIG4;CSMG3;CSNA3;EQTL3;GGBR4;GOAU4;HYPE3;RADL3;RENT3;SMTO3;TOTS3;UGPA3;USIM5;VALE3,USIM5,1.0010270593065798
2021-05-31,2021-06-01,ABEV3;BBAS3;BBDC4;BPAC11;CMIG4;CSMG3;ENEV3;ENGI11;HYPE3;ITSA4;ITUB4;LREN3;MULT3;PETR4;PSSA3;RADL3;RAIL3;SANB11;SMTO3;TOTS3;VALE3,ENEV3,0.7391048776756236
2021-06-30,2021-07-01,BRAP4;ITSA4;ITUB4;PETR4;PSSA3;RENT3;SMTO3;TOTS3;VALE3,TOTS3,0.46566056370298986
2021-07-30,2021-08-02,CSNA3;GGBR4;GOAU4;HYPE3;ITUB4;MULT3;USIM5,USIM5,0.21703904226742268
2021-08-31,2021-09-01,ABEV3;CMIG4;EQTL3;ITSA4;ITUB4;PETR4;PSSA3;SANB11;SMTO3;TOTS3,CMIG4,0.4941910572925328
2021-09-30,2021-10-01,CMIG4;CPLE3;EQTL3;SMTO3;WEGE3,CPLE3,0.37057937493985915
2021-10-29,2021-11-01,ABEV3;PETR4;SMTO3,SMTO3,0.516102598471913
2021-11-30,2021-12-01,PETR4,PETR4,0.06474094291682708
2021-12-30,2022-01-03,KLBN11;SBSP3;SUZB3,SBSP3,1.2554745263637002
2022-01-31,2022-02-01,BBAS3;BBDC4;CMIG4;CPFE3;CPLE3;EGIE3;PETR4;RENT3;SMTO3;SUZB3,BBAS3,0.9426265312670506
2022-02-25,2022-03-02,B3SA3;BBAS3;BBSE3;BRAP4;CPFE3;CPLE3;CSMG3;EQTL3;HYPE3;MULT3;PETR4;SBSP3;SMTO3;VALE3,CSMG3,0.8193467926185901
2022-03-31,2022-04-01,B3SA3;BBDC4;BBSE3;BPAC11;BRAP4;CMIG4;CPFE3;CPLE3;EGIE3;ENGI11;EQTL3;GGBR4;HYPE3;ITSA4;ITUB4;MULT3;RAIL3;RENT3;SANB11;SBSP3;SMTO3;TOTS3;VALE3,BBSE3,0.672183646792369
2022-04-29,2022-05-02,BBSE3;CPFE3;ENGI11;MULT3;SBSP3;SMTO3,CPFE3,0.5559233593510088
2022-05-31,2022-06-01,BBAS3;BBDC4;BBSE3;BPAC11;CMIG4;CPLE3;EGIE3;ENEV3;GGBR4;GOAU4;HYPE3;ITUB4;RENT3;SBSP3;SMTO3,BBDC4,0.727796459908699
2022-06-30,2022-07-01,,,
2022-07-29,2022-08-01,BBAS3;BBSE3;CMIG4;CPFE3;CPLE3;EGIE3;ENEV3;EQTL3;HYPE3;MULT3;PETR4;RAIL3;SBSP3,PETR4,0.634346502771354
2022-08-31,2022-09-01,ABEV3;BBAS3;CMIG4;CPFE3;CPLE3;ENEV3;HYPE3;MULT3;RAIL3;RENT3;SBSP3,RAIL3,0.526377237170778
2022-09-30,2022-10-03,ABEV3;BBDC4;CYRE3;EQTL3;HYPE3;ITSA4;ITUB4;LREN3;RADL3;SBSP3,CYRE3,0.5211564120292571
2022-10-31,2022-11-01,ABEV3;B3SA3;BBDC4;BBSE3;BPAC11;CMIG4;CPFE3;CPLE3;CSMG3;CYRE3;ENGI11;EQTL3;GOAU4;HYPE3;ITSA4;ITUB4;KLBN11;LREN3;MULT3;PSSA3;RADL3;RAIL3;RENT3;SBSP3;SUZB3;TOTS3;UGPA3;WEGE3,SBSP3,1.0830208230600875
2022-11-30,2022-12-01,ABEV3;BBSE3;BRAP4;CMIG4;CPFE3;CPLE3;CSMG3;GGBR4;GOAU4;PSSA3;SBSP3;SUZB3;TOTS3;UGPA3;VALE3;WEGE3,GOAU4,0.4634305510519468
2022-12-29,2023-01-02,B3SA3;BBSE3;BRAP4;CSMG3;HYPE3;RADL3;VALE3;WEGE3,BBSE3,0.47658636947528443
2023-01-31,2023-02-01,BBAS3;BBSE3;BRAP4;CMIG4;CPLE3;CSNA3;EQTL3;GGBR4;GOAU4;HYPE3;MGLU3;MULT3;PSSA3;RADL3;TOTS3;VALE3,CSNA3,0.8390309524511703
2023-02-28,2023-03-01,CYRE3;MULT3;PSSA3;WEGE3,PSSA3,0.3496806452498839
2023-03-31,2023-04-03,BBAS3;CMIG4;CSMG3;EGIE3;EQTL3;RADL3;RAIL3;UGPA3;WEGE3,CMIG4,0.40508037968321436
2023-04-28,2023-05-02,BBAS3;BBSE3;CMIG4;CPLE3;CSMG3;EGIE3;MULT3;PSSA3;RADL3;RAIL3;SMTO3;UGPA3,SMTO3,1.1468450345408951
2023-05-31,2023-06-01,B3SA3;BBAS3;BPAC11;CSMG3;CYRE3;EGIE3;ENGI11;EQTL3;ITSA4;ITUB4;KLBN11;MGLU3;MULT3;RADL3;RAIL3;RENT3;SMTO3;UGPA3,RADL3,0.9642052648447103
2023-06-30,2023-07-03,ABEV3;B3SA3;BBAS3;BBDC4;BPAC11;CMIG4;CPFE3;CPLE3;CSMG3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;HYPE3;ITSA4;ITUB4;KLBN11;MULT3;PETR4;PSSA3;RADL3;RAIL3;RENT3;SANB11;SBSP3;TOTS3;UGPA3,BPAC11,0.727367647744369
2023-07-31,2023-08-01,B3SA3;BBDC4;BPAC11;CMIG4;CPFE3;CPLE3;CYRE3;ENEV3;ENGI11;EQTL3;GGBR4;GOAU4;ITSA4;ITUB4;KLBN11;PETR4;RADL3;RAIL3;SBSP3;SUZB3;UGPA3;WEGE3,GOAU4,0.7313064499990234
2023-08-31,2023-09-01,KLBN11;PETR4;SBSP3;SMTO3;SUZB3,SUZB3,0.20443064262805524
2023-09-29,2023-10-02,CPLE3;KLBN11;PETR4;SBSP3;SMTO3;SUZB3,PETR4,0.29397786149824406
2023-10-31,2023-11-01,BBAS3;PETR4;UGPA3,UGPA3,0.3830078798933848
2023-11-30,2023-12-01,B3SA3;BBAS3;BBDC4;BPAC11;BRAP4;CPFE3;CPLE3;CSMG3;CSNA3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;ITSA4;ITUB4;KLBN11;MULT3;PETR4;PSSA3;RADL3;RAIL3;SANB11;SBSP3;SUZB3;TOTS3;UGPA3;USIM5;VALE3,ITSA4,1.147665359579306
2023-12-28,2024-01-02,B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;BRAP4;CPFE3;CPLE3;CSMG3;CSNA3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;ITSA4;ITUB4;MULT3;PETR4;PSSA3;RADL3;RAIL3;RENT3;SANB11;SBSP3;SUZB3;TOTS3;UGPA3;USIM5;VALE3,USIM5,1.1597677237514632
2024-01-31,2024-02-01,BBAS3;BBSE3;CSMG3;PETR4;RAIL3;SBSP3;UGPA3,PETR4,0.4660552903243847
2024-02-29,2024-03-01,BBAS3;CPLE3;CYRE3;ENGI11;ITSA4;ITUB4;KLBN11;PETR4;PSSA3;RAIL3;SBSP3;SUZB3;UGPA3;USIM5;WEGE3,USIM5,0.6578811229504514
2024-03-28,2024-04-01,CMIG4;CSMG3;CYRE3;ENEV3;KLBN11;LREN3;PSSA3;SBSP3;SUZB3;WEGE3,SUZB3,0.7066404147962396
2024-04-30,2024-05-02,CMIG4;PETR4;SANB11;WEGE3,PETR4,0.686523500899726
2024-05-31,2024-06-03,CMIG4;EGIE3;GOAU4;ITSA4;PSSA3,EGIE3,0.24159366588208397
2024-06-28,2024-07-01,BBSE3;CSMG3;EGIE3;ITUB4;KLBN11;PETR4;PSSA3;SBSP3;SMTO3;SUZB3;TOTS3;WEGE3,WEGE3,0.7032276447453233
2024-07-31,2024-08-01,BBSE3;CMIG4;CPLE3;CSMG3;ITSA4;ITUB4;KLBN11;PSSA3;RADL3;RAIL3;SBSP3;WEGE3,BBSE3,0.7119831460473807
2024-08-30,2024-09-02,ABEV3;B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;CMIG4;CPLE3;CSMG3;EGIE3;ENEV3;EQTL3;ITSA4;ITUB4;LREN3;MULT3;PETR4;PSSA3;SANB11;SBSP3;SUZB3;WEGE3,BBDC4,1.1837115229753992
2024-09-30,2024-10-01,ABEV3;ENEV3;GOAU4;ITSA4;LREN3;MULT3;PSSA3;WEGE3,PSSA3,0.5276665788307071
2024-10-31,2024-11-01,CYRE3;LREN3;MULT3;PSSA3;SBSP3;SUZB3;TOTS3,SUZB3,0.4652698985035545
2024-11-29,2024-12-02,CMIG4;CSMG3;GGBR4;GOAU4;KLBN11;PETR4;SBSP3;SUZB3,CSMG3,0.43654603772691225
2024-12-30,2025-01-02,BBSE3;KLBN11;SUZB3,KLBN11,0.5363925196723568
2025-01-31,2025-02-03,BBAS3;BBSE3;CPFE3;CSMG3;PSSA3;SBSP3;SUZB3;TOTS3;WEGE3,TOTS3,0.7483780064644147
2025-02-28,2025-03-05,CMIG4;CPFE3;CSMG3;SBSP3;TOTS3,TOTS3,0.36933993739103527
2025-03-31,2025-04-01,ABEV3;B3SA3;BBSE3;BPAC11;CPFE3;CPLE3;CYRE3;EQTL3;ITUB4;MGLU3;PSSA3;SBSP3,ABEV3,1.0942853006111533
2025-04-30,2025-05-02,ABEV3;B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;CPFE3;CPLE3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;HYPE3;ITSA4;ITUB4;MULT3;PSSA3;RENT3;SANB11;SBSP3;TOTS3,RENT3,0.6888199476035175
2025-05-30,2025-06-02,B3SA3;BBDC4;BPAC11;CPFE3;CPLE3;CSMG3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;HYPE3;ITSA4;ITUB4;LREN3;MULT3;PSSA3;SANB11;SBSP3;TOTS3,LREN3,0.6530462533470252
2025-06-30,2025-07-01,B3SA3;BBDC4;BPAC11;CPLE3;CSMG3;CYRE3;EGIE3;ENGI11;HYPE3;LREN3;MGLU3;MULT3;PSSA3;SBSP3,PSSA3,0.6874983445114329
2025-07-31,2025-08-01,TOTS3,TOTS3,0.13104431037984846
2025-08-29,2025-09-01,B3SA3;BBDC4;BPAC11;CPFE3;CPLE3;CSMG3;CYRE3;ENEV3;ENGI11;EQTL3;ITSA4;ITUB4;MULT3;PSSA3;SBSP3;UGPA3,CSMG3,0.4630703857300112
2025-09-30,2025-10-01,B3SA3;BBDC4;BPAC11;CMIG4;CPFE3;CPLE3;CSMG3;CYRE3;ENEV3;ENGI11;EQTL3;ITSA4;ITUB4;MULT3;RENT3;SANB11;SBSP3;TOTS3;UGPA3;VALE3,CSMG3,1.1801960462342271
2025-10-31,2025-11-03,BBDC4;BPAC11;BRAP4;CMIG4;CPFE3;CPLE3;CSMG3;CSNA3;ENEV3;ENGI11;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;RADL3;SANB11;SBSP3;UGPA3;USIM5;VALE3,CPFE3,0.7822273698475607
2025-11-28,2025-12-01,ABEV3;B3SA3;BBDC4;BPAC11;BRAP4;CMIG4;CPFE3;CPLE3;CSMG3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;MGLU3;MULT3;RADL3;RENT3;SANB11;SBSP3;UGPA3;VALE3;WEGE3,SANB11,0.9933964678924911
2025-12-30,2026-01-02,ABEV3;BBSE3;BRAP4;CPFE3;CSMG3;CSNA3;GGBR4;GOAU4;RADL3;USIM5;VALE3;WEGE3,CSMG3,0.41612319020766514
2026-01-30,2026-02-02,ABEV3;B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;BRAP4;CMIG4;CPLE3;CSMG3;CSNA3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;MGLU3;MULT3;PETR4;PSSA3;RADL3;RENT3;SANB11;SBSP3;TOTS3;UGPA3;USIM5;VALE3;WEGE3,PETR4,1.029289534194779
2026-02-27,2026-03-02,ABEV3;B3SA3;BBAS3;BBDC4;BPAC11;BRAP4;CMIG4;CPLE3;CSMG3;CYRE3;EGIE3;ENGI11;EQTL3;ITSA4;ITUB4;KLBN11;MULT3;PETR4;PSSA3;RADL3;RENT3;SBSP3;SMTO3;SUZB3;UGPA3;USIM5;VALE3,MULT3,0.573624845377281
2026-03-31,2026-04-01,B3SA3;CMIG4;CPLE3;CSMG3;ENEV3;PETR4;RAIL3;SBSP3;SMTO3;UGPA3;WEGE3,PETR4,0.8089362186273067
2026-04-30,2026-05-04,B3SA3;BBDC4;BPAC11;BRAP4;CMIG4;CPFE3;CPLE3;EGIE3;ENEV3;ENGI11;EQTL3;GGBR4;GOAU4;ITSA4;ITUB4;MULT3;RENT3;SBSP3;UGPA3;USIM5;VALE3,GGBR4,0.885679262000601
2026-05-29,2026-06-01,ABEV3;GGBR4;SMTO3;USIM5,USIM5,0.5797034815473884
2026-06-30,2026-07-01,BBSE3;CPLE3;CSMG3;EGIE3;ENEV3;ITSA4;ITUB4;PSSA3;SBSP3;WEGE3,BBSE3,0.710263417307997
2026-07-31,2026-08-03,BBSE3;BPAC11;CSMG3;ENEV3;ENGI11;GGBR4;GOAU4;ITSA4;ITUB4;PETR4;PSSA3;UGPA3;WEGE3,UGPA3,0.818235263448702
2026-08-31,2026-09-01,B3SA3;CPLE3;ENEV3;KLBN11;PETR4;RAIL3;SMTO3;UGPA3;WEGE3,SMTO3,0.7685276251712629
