date,cash,held_ticker,shares,invested_value,equity
2024-09-18,9.558504431232677,BBDC4,83,1264.91998091,1274.4784853412327
2024-09-19,9.558504431232677,BBDC4,83,1247.48997759,1257.0484820212328
2024-09-20,9.558504431232677,BBDC4,83,1224.25,1233.8085044312327
2024-09-23,9.558504431232677,BBDC4,83,1192.70999087,1202.2684953012326
2024-09-24,9.558504431232677,BBDC4,83,1191.05003154,1200.6085359712326
2024-09-25,9.558504431232677,BBDC4,83,1198.51996514,1208.0784695712327
2024-09-26,9.558504431232677,BBDC4,83,1229.23003486,1238.7885392912326
2024-09-27,9.558504431232677,BBDC4,83,1240.01996514,1249.5784695712327
2024-09-30,9.558504431232677,BBDC4,83,1220.09998423,1229.6584886612327
2024-10-01,36.494717284716444,PSSA3,32,1162.56005856,1199.0547758447165
2024-10-02,36.494717284716444,PSSA3,32,1190.07995616,1226.5746734447164
2024-10-03,36.494717284716444,PSSA3,32,1183.68005376,1220.1747710447164
2024-10-04,36.494717284716444,PSSA3,32,1200.0,1236.4947172847164
2024-10-07,36.494717284716444,PSSA3,32,1190.40002432,1226.8947416047165
2024-10-08,36.494717284716444,PSSA3,32,1194.8800048,1231.3747220847165
2024-10-09,36.494717284716444,PSSA3,32,1180.80004896,1217.2947662447164
2024-10-10,36.494717284716444,PSSA3,32,1178.8800048,1215.3747220847165
2024-10-11,36.494717284716444,PSSA3,32,1160.31994624,1196.8146635247165
2024-10-14,36.494717284716444,PSSA3,32,1171.52001952,1208.0147368047164
2024-10-15,36.494717284716444,PSSA3,32,1182.40002432,1218.8947416047165
2024-10-16,36.494717284716444,PSSA3,32,1191.04003904,1227.5347563247165
2024-10-17,36.494717284716444,PSSA3,32,1184.0,1220.4947172847164
2024-10-18,36.494717284716444,PSSA3,32,1181.1199952,1217.6147124847164
2024-10-21,36.494717284716444,PSSA3,32,1176.95996096,1213.4546782447164
2024-10-22,36.494717284716444,PSSA3,32,1193.59997568,1230.0946929647164
2024-10-23,36.494717284716444,PSSA3,32,1210.56005856,1247.0547758447165
2024-10-24,36.494717284716444,PSSA3,32,1228.80004896,1265.2947662447164
2024-10-25,36.494717284716444,PSSA3,32,1226.8800048,1263.3747220847165
2024-10-28,36.494717284716444,PSSA3,32,1235.52001952,1272.0147368047164
2024-10-29,36.494717284716444,PSSA3,32,1231.68005376,1268.1747710447164
2024-10-30,36.494717284716444,PSSA3,32,1240.0,1276.4947172847164
2024-10-31,36.494717284716444,PSSA3,32,1220.80004896,1257.2947662447164
2024-11-01,50.754218802866035,SUZB3,20,1199.8000336,1250.554252402866
2024-11-04,50.754218802866035,SUZB3,20,1199.4000244,1250.154243202866
2024-11-05,50.754218802866035,SUZB3,20,1210.0,1260.754218802866
2024-11-06,50.754218802866035,SUZB3,20,1190.0,1240.754218802866
